category,p_code,s_code,name
source,1,,业务报送数据
source,1,00,前方地震应急指挥部
source,1,01,后方地震应急指挥部
source,1,20,应急指挥技术系统
source,1,21,社会服务工程应急救援系统
source,1,40,危险区预评估工作组
source,1,41,地震应急指挥技术协调组
source,1,42,震后政府信息支持工作项目组
source,1,80,灾情快速上报接收处理系统
source,1,81,地方地震局应急信息服务相关技术系统
source,1,99,其他
source,2,,泛在感知数据
source,2,00,互联网感知
source,2,01,通信网感知
source,2,02,舆情网感知
source,2,03,电力系统感知
source,2,04,交通系统感知
source,2,05,其他
source,3,,其他数据
source,3,00,其他
carrier,0,,文字
carrier,1,,图像
carrier,2,,音频
carrier,3,,视频
carrier,4,,其他
disaster,1,,震情
disaster,1,01,震情信息
disaster,2,,人员伤亡及失踪
disaster,2,01,死亡
disaster,2,02,受伤
disaster,2,03,失踪
disaster,3,,房屋破坏
disaster,3,01,土木
disaster,3,02,砖木
disaster,3,03,砖混
disaster,3,04,框架
disaster,3,05,其他
disaster,4,,生命线工程灾情
disaster,4,01,交通
disaster,4,02,供水
disaster,4,03,输油
disaster,4,04,燃气
disaster,4,05,电力
disaster,4,06,通信
disaster,4,07,水利
disaster,5,,次生灾害
disaster,5,01,崩塌
disaster,5,02,滑坡
disaster,5,03,泥石流
disaster,5,04,岩溶塌陷
disaster,5,05,地裂缝
disaster,5,06,地面沉降
disaster,5,07,其他
indicator,1,001,地理位置
indicator,1,002,时间
indicator,1,003,震级
indicator,1,004,震源深度
indicator,1,005,烈度
indicator,2,001,受灾人数
indicator,2,002,受灾程度
indicator,3,001,一般损坏面积
indicator,3,002,严重损坏面积
indicator,3,003,受灾程度
indicator,4,001,受灾设施数
indicator,4,002,受灾范围
indicator,4,003,受灾程度
indicator,5,001,灾害损失
indicator,5,002,灾害范围
indicator,5,003,受灾程度
